合约代码,结算价,交易手续费率(‰),交易手续费额(元/手),交割手续费,投机买保证金率(%),投机卖保证金率(%),套保买保证金率(%),套保卖保证金率(%),平今折扣率(%)
cu2110,73890,0.050,0,0,20,20,20,20,200
cu2111,73610,0.050,0,0,10,10,10,10,200
cu2112,73480,0.050,0,0,10,10,10,10,200
cu2201,73430,0.050,0,0,10,10,10,10,200
cu2202,73340,0.050,0,0,10,10,10,10,200
cu2203,73290,0.050,0,0,10,10,10,10,200
cu2204,73460,0.050,0,0,10,10,10,10,200
cu2205,73300,0.050,0,0,10,10,10,10,200
cu2206,73280,0.050,0,0,10,10,10,10,200
cu2207,73330,0.050,0,0,10,10,10,10,200
cu2208,73260,0.050,0,0,10,10,10,10,200
cu2209,73370,0.050,0,0,10,10,10,10,200
bc2110,61200,0.010,0,0,20,20,20,20,0
bc2111,65910,0.010,0,0,10,10,10,10,0
bc2112,65790,0.010,0,0,10,10,10,10,0
bc2201,65580,0.010,0,0,10,10,10,10,0
bc2202,65540,0.010,0,0,10,10,10,10,0
bc2203,65440,0.010,0,0,10,10,10,10,0
bc2204,64100,0.010,0,0,10,10,10,10,0
bc2205,64850,0.010,0,0,10,10,10,10,0
bc2206,67640,0.010,0,0,10,10,10,10,0
bc2207,67680,0.010,0,0,10,10,10,10,0
bc2208,65320,0.010,0,0,10,10,10,10,0
bc2209,64250,0.010,0,0,10,10,10,10,0
al2110,23665,0.000,3,0,20,20,20,20,100
al2111,23785,0.000,3,0,10,10,10,10,100
al2112,23825,0.000,3,0,10,10,10,10,100
al2201,23825,0.000,3,0,10,10,10,10,100
al2202,23890,0.000,3,0,10,10,10,10,100
al2203,23915,0.000,3,0,10,10,10,10,100
al2204,23885,0.000,3,0,10,10,10,10,100
al2205,23800,0.000,3,0,10,10,10,10,100
al2206,23750,0.000,3,0,10,10,10,10,100
al2207,23790,0.000,3,0,10,10,10,10,100
al2208,23705,0.000,3,0,10,10,10,10,100
al2209,23770,0.000,3,0,10,10,10,10,100
zn2110,25620,0.000,3,0,20,20,20,20,0
zn2111,25670,0.000,3,0,10,10,10,10,0
zn2112,25675,0.000,3,0,10,10,10,10,0
zn2201,25665,0.000,3,0,10,10,10,10,0
zn2202,25640,0.000,3,0,10,10,10,10,0
zn2203,25500,0.000,3,0,10,10,10,10,0
zn2204,25620,0.000,3,0,10,10,10,10,0
zn2205,25440,0.000,3,0,10,10,10,10,0
zn2206,25480,0.000,3,0,10,10,10,10,0
zn2207,25390,0.000,3,0,10,10,10,10,0
zn2208,25440,0.000,3,0,10,10,10,10,0
zn2209,25445,0.000,3,0,10,10,10,10,0
pb2110,15290,0.040,0,0,20,20,20,20,0
pb2111,15330,0.040,0,0,10,10,10,10,0
pb2112,15385,0.040,0,0,10,10,10,10,0
pb2201,15445,0.040,0,0,10,10,10,10,0
pb2202,15495,0.040,0,0,10,10,10,10,0
pb2203,15515,0.040,0,0,10,10,10,10,0
pb2204,15490,0.040,0,0,10,10,10,10,0
pb2205,15450,0.040,0,0,10,10,10,10,0
pb2206,15425,0.040,0,0,10,10,10,10,0
pb2207,15495,0.040,0,0,10,10,10,10,0
pb2208,15460,0.040,0,0,10,10,10,10,0
pb2209,15425,0.040,0,0,10,10,10,10,0
ni2110,146690,0.000,3,0,20,20,20,20,100
ni2111,145480,0.000,3,0,10,10,10,10,100
ni2112,144010,0.000,3,0,10,10,10,10,100
ni2201,143120,0.000,3,0,10,10,10,10,100
ni2202,142500,0.000,3,0,10,10,10,10,100
ni2203,142440,0.000,3,0,10,10,10,10,100
ni2204,142730,0.000,3,0,10,10,10,10,100
ni2205,142280,0.000,3,0,10,10,10,10,100
ni2206,143360,0.000,3,0,10,10,10,10,100
ni2207,143090,0.000,3,0,10,10,10,10,100
ni2208,143400,0.000,3,0,10,10,10,10,100
ni2209,144830,0.000,3,0,10,10,10,10,100
sn2110,284500,0.000,3,0,20,20,20,20,100
sn2111,279980,0.000,3,0,10,10,10,10,800
sn2112,277660,0.000,3,0,10,10,10,10,100
sn2201,275320,0.000,3,0,10,10,10,10,100
sn2202,273360,0.000,3,0,10,10,10,10,100
sn2203,272620,0.000,3,0,10,10,10,10,100
sn2204,269270,0.000,3,0,10,10,10,10,100
sn2205,269060,0.000,3,0,10,10,10,10,100
sn2206,267730,0.000,3,0,10,10,10,10,100
sn2207,266880,0.000,3,0,10,10,10,10,100
sn2208,266780,0.000,3,0,10,10,10,10,100
sn2209,268230,0.000,3,0,10,10,10,10,100
au2110,365.80,0.000,10,0.00,20,20,20,20,0
au2111,372.68,0.000,2,0.00,10,10,10,10,0
au2112,373.76,0.000,10,0.00,8,8,8,8,0
au2202,374.78,0.000,2,0.00,8,8,8,8,0
au2204,375.64,0.000,2,0.00,8,8,8,8,0
au2206,376.20,0.000,10,0.00,8,8,8,8,0
au2208,376.82,0.000,2,0.00,8,8,8,8,0
au2210,378.94,0.000,2,0.00,8,8,8,8,0
ag2110,4938,0.050,0,0.00,20,20,20,20,100
ag2111,4957,0.050,0,0.00,12,12,12,12,100
ag2112,4963,0.050,0,0.00,12,12,12,12,100
ag2201,4975,0.010,0,0.00,12,12,12,12,100
ag2202,4990,0.010,0,0.00,12,12,12,12,100
ag2203,5005,0.010,0,0.00,12,12,12,12,100
ag2204,5011,0.010,0,0.00,12,12,12,12,100
ag2205,5014,0.010,0,0.00,12,12,12,12,100
ag2206,5028,0.050,0,0.00,12,12,12,12,100
ag2207,5056,0.010,0,0.00,12,12,12,12,100
ag2208,5067,0.010,0,0.00,12,12,12,12,100
ag2209,5074,0.010,0,0.00,12,12,12,12,100
rb2110,5687,0.100,0,0,20,20,20,20,300
rb2111,5652,0.100,0,0,10,10,10,10,100
rb2112,5625,0.100,0,0,10,10,10,10,100
rb2201,5488,0.100,0,0,10,10,10,10,100
rb2202,5358,0.100,0,0,10,10,10,10,100
rb2203,5324,0.100,0,0,10,10,10,10,100
rb2204,5314,0.100,0,0,10,10,10,10,100
rb2205,5263,0.100,0,0,10,10,10,10,100
rb2206,5219,0.100,0,0,10,10,10,10,100
rb2207,5185,0.100,0,0,10,10,10,10,100
rb2208,5201,0.100,0,0,10,10,10,10,100
rb2209,5160,0.100,0,0,10,10,10,10,100
wr2110,6595,0.040,0,0,20,20,20,20,0
wr2111,6500,0.040,0,0,10,10,10,10,0
wr2112,6449,0.040,0,0,10,10,10,10,0
wr2201,5939,0.040,0,0,10,10,10,10,0
wr2202,5909,0.040,0,0,10,10,10,10,0
wr2203,5950,0.040,0,0,10,10,10,10,0
wr2204,5980,0.040,0,0,10,10,10,10,0
wr2205,5633,0.040,0,0,10,10,10,10,0
wr2206,5950,0.040,0,0,10,10,10,10,0
wr2207,5722,0.040,0,0,10,10,10,10,0
wr2208,5822,0.040,0,0,10,10,10,10,0
wr2209,5843,0.040,0,0,10,10,10,10,0
hc2110,5781,0.100,0,0,20,20,20,20,300
hc2111,5826,0.100,0,0,10,10,10,10,100
hc2112,5741,0.100,0,0,10,10,10,10,100
hc2201,5701,0.100,0,0,10,10,10,10,100
hc2202,5608,0.100,0,0,10,10,10,10,100
hc2203,5572,0.100,0,0,10,10,10,10,100
hc2204,5555,0.100,0,0,10,10,10,10,100
hc2205,5501,0.100,0,0,10,10,10,10,100
hc2206,5481,0.100,0,0,10,10,10,10,100
hc2207,5436,0.100,0,0,10,10,10,10,100
hc2208,5417,0.100,0,0,10,10,10,10,100
hc2209,5328,0.100,0,0,10,10,10,10,100
ss2110,20675,0.000,10,0,20,20,20,20,400
ss2111,20515,0.000,10,0,10,10,10,10,400
ss2112,19935,0.000,2,0,10,10,10,10,0
ss2201,19405,0.000,2,0,10,10,10,10,0
ss2202,19065,0.000,2,0,10,10,10,10,0
ss2203,18935,0.000,2,0,10,10,10,10,0
ss2204,18645,0.000,2,0,10,10,10,10,0
ss2205,18565,0.000,2,0,10,10,10,10,0
ss2206,18450,0.000,2,0,10,10,10,10,0
ss2207,18575,0.000,2,0,10,10,10,10,0
ss2208,18580,0.000,2,0,10,10,10,10,0
ss2209,18180,0.000,2,0,10,10,10,10,0
sc2111,525.2,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2112,530.5,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2201,528.5,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2202,525.3,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2203,522.4,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2204,521.5,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2205,521.6,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2206,519.4,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2207,505.9,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2208,512.0,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2209,512.1,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2210,503.6,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2212,508.7,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2303,506.5,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2306,511.2,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2309,494.9,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2312,494.0,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2403,493.6,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2406,494.1,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2409,484.4,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
lu2111,4061,0.010,0,0,10,10,10,10,100
lu2112,3996,0.010,0,0,10,10,10,10,100
lu2201,3993,0.010,0,0,10,10,10,10,100
lu2202,3958,0.010,0,0,10,10,10,10,100
lu2203,3949,0.010,0,0,10,10,10,10,100
lu2204,3932,0.010,0,0,10,10,10,10,100
lu2205,3964,0.010,0,0,10,10,10,10,100
lu2206,3781,0.010,0,0,10,10,10,10,100
lu2207,3806,0.010,0,0,10,10,10,10,100
lu2208,3720,0.010,0,0,10,10,10,10,100
lu2209,3797,0.010,0,0,10,10,10,10,100
lu2210,3796,0.010,0,0,10,10,10,10,100
fu2111,3520,0.050,0,0,10,10,10,10,0
fu2112,3452,0.010,0,0,10,10,10,10,0
fu2201,3196,0.050,0,0,10,10,10,10,0
fu2202,3173,0.010,0,0,10,10,10,10,0
fu2203,3153,0.010,0,0,10,10,10,10,0
fu2204,3110,0.010,0,0,10,10,10,10,0
fu2205,3090,0.050,0,0,10,10,10,10,0
fu2206,3061,0.010,0,0,10,10,10,10,0
fu2207,3082,0.010,0,0,10,10,10,10,0
fu2208,3088,0.010,0,0,10,10,10,10,0
fu2209,3058,0.050,0,0,10,10,10,10,0
fu2210,3096,0.010,0,0,10,10,10,10,0
bu2110,2946,0.100,0,0,20,20,20,20,100
bu2111,3288,0.100,0,0,10,10,10,10,100
bu2112,3342,0.100,0,0,10,10,10,10,100
bu2201,3360,0.100,0,0,10,10,10,10,100
bu2202,3378,0.100,0,0,10,10,10,10,100
bu2203,3390,0.100,0,0,10,10,10,10,100
bu2206,3482,0.100,0,0,10,10,10,10,100
bu2209,3492,0.100,0,0,10,10,10,10,100
bu2212,3482,0.100,0,0,10,10,10,10,100
bu2303,3496,0.100,0,0,10,10,10,10,100
bu2306,3496,0.100,0,0,10,10,10,10,100
bu2309,3460,0.100,0,0,10,10,10,10,100
ru2110,14060,0.000,3,0,20,20,20,20,0
ru2111,13615,0.000,3,0,10,10,10,10,0
ru2201,14590,0.000,3,0,10,10,10,10,0
ru2203,14675,0.000,3,0,10,10,10,10,0
ru2204,14700,0.000,3,0,10,10,10,10,0
ru2205,14760,0.000,3,0,10,10,10,10,0
ru2206,14945,0.000,3,0,10,10,10,10,0
ru2207,14830,0.000,3,0,10,10,10,10,0
ru2208,15010,0.000,3,0,10,10,10,10,0
ru2209,14940,0.000,3,0,10,10,10,10,0
nr2110,11890,0.020,0,0,20,20,20,20,0
nr2111,11725,0.020,0,0,10,10,10,10,0
nr2112,11660,0.020,0,0,10,10,10,10,0
nr2201,11605,0.020,0,0,10,10,10,10,0
nr2202,11585,0.020,0,0,10,10,10,10,0
nr2203,11600,0.020,0,0,10,10,10,10,0
nr2204,11630,0.020,0,0,10,10,10,10,0
nr2205,11410,0.020,0,0,10,10,10,10,0
nr2206,10685,0.020,0,0,10,10,10,10,0
nr2207,11785,0.020,0,0,10,10,10,10,0
nr2208,11770,0.020,0,0,10,10,10,10,0
nr2209,11770,0.020,0,0,10,10,10,10,0
sp2110,5556,0.050,0,0,20,20,20,20,0
sp2111,5334,0.050,0,0,10,10,10,10,0
sp2112,5316,0.050,0,0,9,9,9,9,0
sp2201,5372,0.050,0,0,9,9,9,9,0
sp2202,5370,0.050,0,0,9,9,9,9,0
sp2203,5362,0.050,0,0,9,9,9,9,0
sp2204,5452,0.050,0,0,9,9,9,9,0
sp2205,5402,0.050,0,0,9,9,9,9,0
sp2206,5412,0.050,0,0,9,9,9,9,0
sp2207,5416,0.050,0,0,9,9,9,9,0
sp2208,5460,0.050,0,0,9,9,9,9,0
sp2209,5424,0.050,0,0,9,9,9,9,0
